gene1|gene2|experiment_type|reference
FPR1|SAA1|in vitro|10753626
LAMA1|SAA1|in vitro|8995276
AP2B1|AP1M1|yeast 2-hybrid|16189514
COL4A1|SAA2|in vitro|8995276
LAMA1|SAA2|in vitro|8995276
COL4A1|SAA4|in vitro|8995276
AP2B1|TERF2IP|yeast 2-hybrid|16189514
SERPINA3|APP|in vivo|10048303,2190106
APOE|APP|in vitro|10559559
LRP1|APP|in vivo|12212791,7543026
GRB2|APP|in vivo|12485888
CALR|APP|in vivo|11378243
CTSD|APP|in vitro;in vivo|10605825,8943232,10931940,8930981,7523115
CHRNA7|APP|in vitro;in vivo|10681545
COL4A3|APP|in vitro|9136074
COL4A2|APP|in vitro|9136074
COL4A1|APP|in vitro|9136074
COL1A2|APP|in vitro|7688497
CDK5|APP|in vitro;in vivo|8764598,10936190,15178331
NID1|APP|in vitro|11376898
FBLN1|APP|in vitro|11238726
GSN|APP|in vitro;in vivo|10329371
GAPDH|APP|in vitro|8473906
HMOX2|APP|in vivo;yeast 2-hybrid|12057765
HSPG2|APP|in vitro|9136074
HADHB|APP|in vitro|11430884
IDE|APP|in vitro|9830016
LAMA1|APP|in vitro|9136074
SNCA|APP|in vitro|9163350
ABL1|APP|in vivo|11279131
KNG1|APP|in vivo|12090937
F12|APP|in vivo|11589915
BCAP31|APP|in vivo;yeast 2-hybrid|12529377
BGN|APP|in vitro|7793988
COL4A5|APP|in vitro|9136074
COL4A6|APP|in vitro|9136074
KLC1|APP|in vitro;in vivo|11144355
SHC1|APP|in vitro;in vivo;yeast 2-hybrid|11877420,9045663
CASP3|APP|in vitro;in vivo|8943232,15178331
CAV1|APP|in vitro|9553108
CASP6|APP|in vitro|10438520
PRSS2|APP|in vitro|8478942
CASP8|APP|in vitro|10911620
BLMH|APP|in vitro;yeast 2-hybrid|10973933
APBA1|APP|in vitro;in vivo|8887653
SNCB|APP|in vitro|9163350
CASP4|APP|in vitro|15123740
APBB1|APP|in vitro;in vivo;yeast 2-hybrid|8887653,8955346,9799084,9837937,11085987,9045663,11517249
APBB2|APP|in vitro;in vivo|8855266,14527950
APBB3|APP|in vitro;in vivo|14527950,10081969
