gene1|gene2|experiment_type|reference
APBA2|APP|in vitro;in vivo|9890987
APPBP1|APP|in vitro;in vivo|8626687
DAB1|APP|in vitro|10460257,9837937
NUMB|APP|in vitro;in vivo|12011466
APBA3|APP|in vitro;in vivo|10049767
MAPK8IP1|APP|in vitro;in vivo;yeast 2-hybrid|11517249,11724784
GSK3B|APP|in vitro;in vivo|8764598,10936190,15178331
NCSTN|APP|in vivo|10993067
APPBP2|APP|in vitro;yeast 2-hybrid|9843960
BACE2|APP|in vitro;in vivo|10605825,10931940,8764598,10936190,15178331
COPE|ARF1|yeast 2-hybrid|10921873
AP4E1|ARF1|in vivo|11707398
AP3D1|ARF1|in vitro;in vivo|11926829
ARFGAP1|ARF1|in vitro;in vivo|9733781
ARF1|ARHGAP21|in vitro;yeast 2-hybrid|15793564
ARFIP2|ARF1|in vitro;yeast 2-hybrid|9038142
ARFIP1|ARF1|in vitro;in vivo;yeast 2-hybrid|9038142
GGA2|ARF1|in vitro;yeast 2-hybrid|10747089
COPG|ARF1|in vitro;in vivo|10720466
GGA3|ARF1|in vitro;in vivo;yeast 2-hybrid|10747089,11301005
PLEKHA8|ARF1|in vitro|15107860
TMED10|ARF1|in vitro|11726511
GGA1|ARF1|in vitro;in vivo;yeast 2-hybrid|12636914,10747089
TMED2|ARF1|in vitro;in vivo|11703931
AP1B1|ARF5|in vitro;in vivo|11926829
PIP5K1A|ARF5|in vitro|10589680
DDEF2|ARF5|in vivo|10749932,10022920
ARFIP2|ARF5|in vitro;yeast 2-hybrid|9038142
AP2B1|LDLRAP1|yeast 2-hybrid|16189514
ARF5|RAB11FIP3|in vitro;in vivo;yeast 2-hybrid|10593962,11535061
KIF23|ARF3|in vitro;yeast 2-hybrid|10506747
ARFIP2|ARF3|in vitro;yeast 2-hybrid|9038142
ARFIP1|ARF3|in vitro;in vivo;yeast 2-hybrid|10413101,9038142
GGA2|ARF3|yeast 2-hybrid|10749927
NR3C1|SLC25A4|in vivo|12039962
PRKCE|SLC25A4|in vivo|12663490
AP2B1|NUP54|yeast 2-hybrid|16189514
AR|SLC25A4|in vitro;in vivo;yeast 2-hybrid|12039962
BAX|SLC25A4|in vivo;yeast 2-hybrid|9748162
PPIF|SLC25A4|in vitro|9874241
PPID|SLC25A4|in vitro|12149099,14729611,15033717
FDX1|FDX1|in vitro|9890963
FDXR|FDX1|in vitro|1917982
CYP11A1|FDX1|in vitro|1917982,1429635
CYCS|FDX1|in vivo|6270113
CYP11B2|FDX1|in vitro|3872685
POU2F1|FDXR|in vitro;in vivo|11096094
ADM|ADM|in vitro;in vivo|9620797
MME|ADM|in vitro|8687431
CFH|ADM|in vitro|11116141
EDN1|ADM|in vivo|11410113
CALCRL|ADM|in vitro;in vivo|9620797
APOE|ALB|in vitro|8063017
CRYAA|ALB|in vitro|9618718
ORM1|ALB|in vitro|3795040
TCF1|ALB|in vitro|2460858
PON1|ALB|in vitro|6324579
AMBP|ALB|in vitro|9183005
SRGN|ALB|in vitro|4062880
RBP4|ALB|in vitro|571335
LRP2|ALB|in vivo|11158855,8898021
FCGRT|ALB|in vivo|12566415
CUBN|ALB|in vivo|10811843
YWHAG|ALB|in vivo|15324660
AP2B1|ATP6V1G1|yeast 2-hybrid|16189514
EXOSC4|AKR1A1|yeast 2-hybrid|15231747
ALDOA|ALDOA|in vitro|14669989
ATP6V1E1|ALDOA|in vitro;yeast 2-hybrid|11399750
GPD2|ALDOA|in vitro|6406231,2065091
TGM2|ALDOA|in vitro|1353685
TUBB|ALDOA|in vitro|8103323
DYNLL1|ALDOA|in vitro|14760703
PLD2|ALDOA|in vitro;in vivo|11876650
XRN1|ALDOA|yeast 2-hybrid|15231747
APOE|A2M|in vitro;in vivo|9831625
LRP1|A2M|in vitro;in vivo|10652313,12194978
B2M|A2M|in vitro|10731476
CTSB|A2M|in vitro|2476070
CTSE|A2M|in vitro|12631277
MMP2|A2M|in vitro|9344465
IL10|A2M|in vitro|10714547
ELA1|A2M|in vivo|6153632,6191979,80233
HSPA5|A2M|in vivo|12194978
IL1B|A2M|in vitro;in vivo|9714181,2466831
KLK2|A2M|in vitro|9428387
LEP|A2M|in vitro|9724081
PAEP|A2M|in vitro|11023837
PDGFA|A2M|in vitro|10681572
KLK3|A2M|in vitro|8583572
AMBP|A2M|in vitro;in vivo|7519849,7533162,1697852
PDGFB|A2M|in vitro;in vivo|10681572
TGFBI|A2M|in vitro|10681572
ADAM19|A2M|in vitro|11162584
ADAMTS1|A2M|in vivo|10373500
LCAT|A2M|in vitro;in vivo|11435418
NGFB|A2M|in vitro|10681572
CCR5|AFP|in vitro;in vivo|12176010
PRPF40A|ATBF1|in vitro|9171351
GNGT1|NAGA|in vitro|10360181
ADRBK1|ADRA2A|in vitro;in vivo|7876239
GNAI1|ADRA2A|in vitro|11732925
GNAO1|ADRA2A|in vitro;in vivo|11732925,7887906
GNAI2|ADRA2A|in vivo|7887906
PRKCD|ADRA2A|in vitro|11732925
YWHAZ|ADRA2A|in vitro;in vivo|10224112
ADRA2A|EIF2B1|in vitro;in vivo|9235896
ADRA1A|ADRA1D|yeast 2-hybrid|15525470
ADRA1A|ADRA1B|yeast 2-hybrid|15525470
GNA11|ADRA1B|in vivo|9481484
PRKCA|ADRA1B|in vitro|9353340
SAG|ADRA1B|in vivo|8617782
STAT1|ADRA1B|in vivo|10652206
GNAQ|ADRA1B|in vivo|9481484
AP2M1|ADRA1B|in vitro;in vivo;yeast 2-hybrid|12644451
BMP1|ADRA1A|yeast 2-hybrid|15525470
ABR|ADRA1A|in vitro;yeast 2-hybrid|15525470
PPP1R9B|ADRA1A|in vitro;in vivo|11154706
LRP1|LRPAP1|in vitro;in vivo|10747918,1374383,1718973
VLDLR|LRPAP1|in vitro;in vivo|7592875,10571241
LRP2|LRPAP1|in vitro;in vivo|7512726
SORL1|LRPAP1|in vitro;in vivo|11557679,8940146
SORT1|LRPAP1|in vitro|9013611
LRP8|LRPAP1|in vivo|12899622
LDLR|LRPAP1|in vitro;in vivo|7822276
LRP1B|LRPAP1|in vivo|11384978
CR1|FUT4|in vivo|3305706
SELP|FUT4|in vitro|7508745
ITGB2|FUT4|in vivo|3305706
ST3GAL4|CD8B|in vitro|12459555
GNAO1|ADRA2C|in vivo|1349607
YWHAZ|ADRA2C|in vitro|10224112
ADRA2C|EIF2B1|in vitro;in vivo|9235896
GNAI2|ADRA2B|in vivo|2169434
YWHAZ|ADRA2B|in vitro|10224112
EIF2B1|ADRA2B|in vitro;in vivo|9235896
COPB1|TRIM37|yeast 2-hybrid|16189514
VAV1|ACTA1|in vivo|11839310
PFN1|ACTA1|in vitro|8413665
S100A1|ACTA1|in vivo|9645951
PRKCA|ACTA1|in vitro|10628374
PRKCE|ACTA1|in vivo|8567732
PRKCD|ACTA1|in vitro;in vivo|11415434
PSCD1|ACTA1|in vitro|11438522
SPTA1|ACTA1|in vitro|2936753
TLN1|ACTA1|in vivo|10581178
TTN|ACTA1|in vitro|9251807,11701614,15507486
ABL1|ACTA1|in vitro;in vivo|11309382
TPM3|ACTA1|in vitro;in vivo|11106625,12163017
TNNI1|ACTA1|in vivo|9724539
TP53|ACTA1|in vitro|11821948
ITGA2|ACTA1|in vitro|7503723
VIL1|ACTA1|in vitro|3793760,6893424
VCL|ACTA1|in vitro|7816144
TMSB4X|ACTA1|in vitro|11812134
DMD|ACTA1|in vitro;in vivo|1544421,11259305
MAP1A|ACTA1|in vitro|7820861,7908020
EPS8|ACTA1|in vivo|11524436,12127568
CNN1|ACTA1|in vitro|12033495,2455687,2161834
TAGLN|ACTA1|in vitro;in vivo|11053353
MYLK|ACTA1|in vitro|11481347
MYO6|ACTA1|in vitro|9852149
NR3C2|ACTA1|in vitro|8612804
TJP1|ACTA1|in vitro|9214391
DLG1|ACTA1|in vivo|9512503
CTNND1|ACTA1|in vitro|11969288
DTNA|ACTA1|in vitro;in vivo|12475945
HCLS1|ACTA1|in vitro|12534372
CFL1|ACTA1|in vitro;yeast 2-hybrid|11707283,10366597
MYO10|ACTA1|in vivo|10984435
VASP|ACTA1|in vitro;yeast 2-hybrid|10882740,10438535
AIF1|ACTA1|in vitro;in vivo|12714565
TRAF3|ACTA1|in vitro|11950878
RAC1|ACTA1|in vivo|11027608
SMTN|ACTA1|in vitro;in vivo|14523566
MYO9B|ACTA1|in vitro|9490638
PLD1|ACTA1|in vivo|12388543
PAK1|ACTA1|in vivo|9298982
FSCN1|ACTA1|in vitro|8999969
GAS2|ACTA1|in vitro|10564664
OCLN|ACTA1|in vitro;in vivo|9792688,10575001
LASP1|ACTA1|in vitro|12571245
IQGAP1|ACTA1|in vitro|9199170
CCIN|ACTA1|in vitro|11090452
PCYT1B|ACTA1|in vitro|11580270
SPTBN2|ACTA1|in vitro|11461920
CORO2B|ACTA1|in vitro|10224093
KIF23|ACTA1|in vitro|11877456
CCT4|ACTA1|in vitro|11580270
ACTR1B|ACTA1|in vitro|12857853
MINPP1|ACTA1|in vitro;in vivo|11536049
CYFIP1|ACTA1|in vitro|9417078
FHOD1|ACTA1|in vitro;in vivo|14576350,12665555
CLIC5|ACTA1|in vitro|10793131
CCT5|ACTA1|in vitro|11580270
USP6NL|ACTA1|in vitro|15152255
EPB41L2|ACTA1|in vitro|12044158
COTL1|ACTA1|in vitro;in vivo|11583571
AFAP1|ACTA1|in vitro;in vivo|10666339
MACF1|ACTA1|in vitro;in vivo|10601340,10559237,1074709
HIP1R|ACTA1|in vitro|11889126
DNMBP|ACTA1|in vitro|14506234
NEXN|ACTA1|in vitro|9832551
TNNI3|ACTA1|in vitro|12383268
PHACTR1|ACTA1|in vivo|15107502
ACTR10|ACTA1|in vitro|12857853
KLHL20|ACTA1|in vitro|14668487
S100A4|ACTA1|in vitro|14640694
GAS7|ACTA1|in vitro;in vivo|11795944
PARVA|ACTA1|in vitro|11171322
JUB|ACTA1|in vitro;in vivo|12417594
CMYA1|ACTA1|in vitro|15454575
FGD4|ACTA1|in vitro|9668039,11429692
TNNI3K|ACTA1|yeast 2-hybrid|12721663
DNASE1|ACTA2|in vitro|11707283
GC|ACTA2|in vitro|12119014
MYL1|ACTA2|in vitro|11707283
HOXA10|EP300|in vitro;in vivo|11585930
HOXB1|EP300|in vitro;in vivo|11585930
PRKCD|ACTA2|in vitro|10628374
HOXB2|EP300|in vitro;in vivo|11585930
TMSB4X|ACTA2|in vitro|11812134
EP300|ING2|in vitro;in vivo|16024799
SNTA1|ACTA2|in vitro|9512352
CFL1|ACTA2|in vitro|11707283
IRF1|EP300|in vitro|10438822
PCYT1B|ACTA2|in vitro|11580270
CCT4|ACTA2|in vitro|11580270
CCT5|ACTA2|in vitro|11580270
PCYT1A|ACTB|in vitro;in vivo|2155660
VIL2|ACTB|in vivo|7876308
EPB49|ACTB|in vivo|8341682
NT5E|ACTB|in vivo|10470109
EEF1A1|ACTB|in vivo|11854414
GSN|ACTB|in vivo|10945978
GAPDH|ACTB|in vitro|11846445
HCK|ACTB|in vitro|12029088
MX1|ACTB|in vivo|1629950
LMNA|ACTB|in vitro|9563518
ALOX5|ACTB|in vitro|7929073
MAP1B|ACTB|in vivo|9813091
MAP2|ACTB|in vitro|11029056
MAPT|ACTB|in vitro|6304075
PTN|ACTB|in vivo|9739080
NOS2A|ACTB|in vitro|12080081
LYN|ACTB|in vivo|10403844
PFN2|ACTB|in vitro;in vivo|10600384
PFN1|ACTB|in vitro|10411937
PRKCD|ACTB|in vitro|11415434
RAB4A|ACTB|in vitro;in vivo|9013719
SPTAN1|ACTB|in vivo|9209005
STX4|ACTB|in vitro|12435603
TGM2|ACTB|in vitro;in vivo|9252372
TPM1|ACTB|in vivo|9108196
TPM3|ACTB|in vivo|9108196
TNNI2|ACTB|in vitro|7103951
TMSB4X|ACTB|in vitro|11812134
EMD|ACTB|in vitro|12670476
FLII|ACTB|in vitro|9525888
CSNK1A1|ACTB|in vitro|12062430
VSNL1|ACTB|in vivo|8780737
MYO1E|ACTB|in vitro|11940582
DYNLL1|ACTB|in vitro|14760703
CAPZA1|ACTB|in vitro|8639502
HSD17B4|ACTB|in vivo|8547189
PRSS3|APP|in vitro|11827488
COL25A1|APP|in vitro;in vivo|11927537
TP53BP2|APP|in vitro;yeast 2-hybrid|11278849
SHC3|APP|in vitro;in vivo|11877420
SPON1|APP|in vitro|14983046
LRP1B|APP|in vivo|15126508
TM2D1|APP|in vitro;yeast 2-hybrid|11278849
COL4A1|APCS|in vitro|8662978
C1QA|APCS|in vitro|8417122
C4BPA|APCS|in vitro|7592941
CRP|APCS|in vitro|8144569,1477104
FN1|APCS|in vivo|12100475
FCGR3A|APCS|in vitro|11359830
FCGR1A|APCS|in vitro|11359830
LAMA1|APCS|in vitro|8999915
TG|APCS|in vitro|3211159
CALU|APCS|in vitro|10631319
FCGR2B|APCS|in vitro|11359830
FCGR3B|APCS|in vitro|11359830
PRNP|APLP1|in vivo|15146195
APBB1|APLP1|in vitro;yeast 2-hybrid|8894693
DAB1|APLP1|in vitro;in vivo;yeast 2-hybrid|10460257
APLP2|APLP2|in vitro|8894693
CDC2|APLP2|in vitro;in vivo|9109675
PRNP|APLP2|in vivo|15146195
PRKCA|APLP2|in vitro;in vivo|9109675
APBB1|APLP2|in vitro|8894693,9461550
APBB2|APLP2|in vivo|8855266
APBB3|APLP2|in vitro|10081969
DAB1|APLP2|in vitro|10460257
PRDX1|MYC|in vitro;in vivo;yeast 2-hybrid|12196529
ALK|ALK|in vivo|9174053,9819383
ACTN4|SERPINE1|in vivo;yeast 2-hybrid|15493875
IRS1|ALK|in vivo|9174053
PTN|ALK|in vitro;in vivo|11278720
MDK|ALK|in vivo|12122009
NPM1|ALK|in vitro;in vivo|11888936
PLCG1|ALK|in vivo|9174053
JAK3|ALK|in vivo|11850821
SHC1|ALK|in vivo|9174053
SHC3|ALK|in vivo|12185581
RNH1|ANG|in vitro|2742853,9311977,2276743
TNFSF8|ANG|in vitro|11751393
AGT|AGT|in vitro|1756856,11709400
CTSG|AGT|in vitro|10899625,11747312
CMA1|AGT|in vitro|10899625
MAS1|AGT|in vitro|12829792
KNG1|AGT|in vivo|11677365
AGTR2|AGT|in vivo|8185599
ACE2|AGT|in vitro|10969042,11815627
MEP1A|AGT|in vitro|11278902
PREP|AGT|in vitro|12173
PRG2|AGT|in vitro|7539791
DNPEP|AGT|in vivo|12895663
ARRB2|AGTR1|in vivo|11279203
BDKRB2|AGTR1|in vivo|10993080
AGTR1|EGFR|in vitro|12522132
JAK2|AGTR1|in vivo|7746328
NOS3|AGTR1|in vitro|10510297
RAB5A|AGTR1|in vivo;yeast 2-hybrid|11682489
AGTR1|THOP1|in vitro;yeast 2-hybrid|15376229
DNAJC14|AGTR1|in vitro|12446598
AGTRAP|AGTR1|in vitro|11733189
BDKRB2|ACE|in vivo|10748135
COMT|ACE|in vivo|12729939
AGTR2|ACE|in vivo|11459796
ITGB1BP1|LRP1|in vitro;in vivo;yeast 2-hybrid|10827173
CD82|LRP1|in vitro;in vivo|9804823
MAPK8IP2|LRP1|in vitro;in vivo;yeast 2-hybrid|10827173
NOS1AP|LRP1|in vitro;in vivo;yeast 2-hybrid|10827173
GULP1|LRP1|in vitro;in vivo|11729193
SYNJ2BP|LRP1|in vitro;in vivo;yeast 2-hybrid|10827173
ANAPC10|LRP1|yeast 2-hybrid|10827173
NPTX1|RCN2|in vitro;in vivo|10748068
DOCK1|RAC1|in vitro;in vivo|12134158,9808620
NR2F6|NR2F2|in vitro;yeast 2-hybrid|10318855
MYOD1|NR2F2|in vitro;in vivo|9826778
HDAC1|NR2F2|in vitro|10704340
SQSTM1|NR2F2|in vitro;yeast 2-hybrid|8910285
TRIM24|NR2F2|in vitro|9115274
BCL11A|NR2F2|in vitro;yeast 2-hybrid|10744719
BCL11B|NR2F2|in vitro;yeast 2-hybrid|10744719
PIAS1|NR2F2|in vitro;yeast 2-hybrid|15666827,15611122
EPHB2|AQP1|in vivo;yeast 2-hybrid|10839360
PICK1|AQP1|yeast 2-hybrid|10839360
DOCK1|ELMO1|in vitro;in vivo|12134158
AQP2|AQP2|in vivo|12051765,11076974
EPRS|RARS|yeast 2-hybrid|9556618
SCYE1|RARS|in vitro|10358004
QARS|RARS|in vitro|10801842
LRP2|LCN2|in vitro|15670845
ARG1|ARG2|in vivo|11849441
TRAF1|TNFRSF17|in vivo|10903733
TRAF2|TNFRSF17|in vivo|10903733
TRAF3|TNFRSF17|in vivo|10903733
TNFSF13B|TNFRSF17|in vitro;in vivo|10908663,10801128,10973284
TNFSF13|TNFRSF17|in vitro|10973284
ADRB1|ARRB1|in vitro|10862778
ADRBK1|ARRB1|in vitro|8885248
CLTC|ARRB1|in vitro|9169477
CSK|ARRB1|in vitro|10753943
IL8RB|ARRB1|in vivo|11170396
FGR|ARRB1|in vivo|10973280
OPRD1|ARRB1|in vivo|11259507
PTHR1|ARRB1|in vitro;in vivo;yeast 2-hybrid|12220636
PTHLH|ARRB1|in vivo|12220636
MAPK1|ARRB1|in vitro|10347142,9388255
ARF6|ARRB1|in vitro;in vivo|11533043,11867621
SLC9A5|ARRB1|in vivo|15699339
AP2B1|ARRB1|in vitro;yeast 2-hybrid|11777907
DVL1|ARRB1|in vitro;in vivo|11742073
CCR5|ARRB1|in vitro|12065593
RALGDS|ARRB1|in vitro;in vivo;yeast 2-hybrid|12105416
NSF|ARRB1|in vitro;in vivo;yeast 2-hybrid|10196135
MAPK3|ARRB1|in vitro|10347142,9388255
DVL2|ARRB1|in vivo;yeast 2-hybrid|11742073
PSCD2|ARRB1|in vitro;in vivo|11533043
TRHR|ARRB1|in vitro|12393857,11278883
CSNK2A1|ARRB2|in vitro;in vivo|11877451
CSNK2A2|ARRB2|in vitro;in vivo|11877451
CLTC|ARRB2|in vivo;yeast 2-hybrid|10097102
NTSR1|ARRB2|in vivo|11279203
MDM2|ARRB2|in vivo|12538596,12488444,11588219
OPRD1|ARRB2|in vivo|11259507
OXTR|ARRB2|in vivo|11279203
PTAFR|ARRB2|in vitro;in vivo|11729201,9037196
AVPR2|ARRB2|in vitro;in vivo|12473660
AP1B1|ARRB2|in vitro;in vivo;yeast 2-hybrid|10097102,12070169
ARF6|ARRB2|in vitro;in vivo|11533043,11867621
RALGDS|ARRB2|in vivo;yeast 2-hybrid|12105416
MAP3K5|ARRB2|in vivo|11356842
PSCD2|ARRB2|in vitro;in vivo|11533043
MAPK10|ARRB2|in vivo;yeast 2-hybrid|11090355,11356842
NTS|ARRB2|in vitro;in vivo|12473660
TRH|ARRB2|in vitro;in vivo|12473660
CYB5A|CYP1A1|in vitro|6102994
ARD1A|NAT1|in vitro;in vivo|12888564
AXL|GRB2|in vitro;in vivo|9178760
ADRB2|GRB2|in vitro;in vivo|9830057
CALD1|GRB2|in vitro|10559276
DRD3|GRB2|in vitro;in vivo|11384839
DRD4|GRB2|in vivo|9843378
DAG1|GRB2|in vitro;in vivo|7744812,10903901
EGF|GRB2|in vivo|10973965
EGFR|GRB2|in vitro;in vivo|1322798,7527043,8662998,12577067,14679214,8887653,11726515,8810325
EPOR|GRB2|in vitro;in vivo|7534299
FASLG|GRB2|in vitro;in vivo|11741599,12023017,12220636
FGFR3|GRB2|in vivo|9045692
FGFR1|GRB2|in vivo|9480847
FLT3|GRB2|in vivo|10080542
FLT4|GRB2|in vitro;in vivo|7970715,7675451,8662748,9927207
CSF3R|GRB2|in vivo|9824671
RASA1|GRB2|in vivo|12441060
BAT2|GRB2|yeast 2-hybrid|14667819
HD|GRB2|in vitro;in vivo|9079622
IL2RB|GRB2|in vitro|10602027
MS4A2|GRB2|in vitro;in vivo|8995445
IRS1|GRB2|in vitro;in vivo|7488107,8810325,8388384
ITGA6|GRB2|in vivo|7556090
ITGB4|GRB2|in vivo|9171350
JAK1|GRB2|in vivo|11527382,8536716
JAK2|GRB2|in vivo|7500025
BCR|GRB2|in vitro;in vivo|8112292,9178913
PTPRC|GRB2|in vitro;in vivo|8570203
ANXA2|GRB2|in vitro|7510700
ALOX5|GRB2|in vitro|8585605,7929073
MAP2|GRB2|in vitro;in vivo|10781592,11546790
MUC1|GRB2|in vivo|7664271
NGFR|GRB2|in vitro;in vivo|9368064
HNRPC|GRB2|in vitro;in vivo|9516488
RET|GRB2|in vivo|9393871
CRK|GRB2|in vitro;in vivo|8662907,10970810
CTTN|GRB2|in vitro|11439336
CSF1R|GRB2|in vitro;in vivo;yeast 2-hybrid|9380408,8262059,9178909
MET|GRB2|in vitro;in vivo;yeast 2-hybrid|11439336,8662889,9660480,7511210,15546961
ERBB2|GRB2|in vitro|11606575,11173924
KIT|GRB2|in vitro;in vivo|10377264
PIK3R1|GRB2|in vitro;in vivo|7759531,7642542,7737969,8621719
PLCG1|GRB2|in vitro;in vivo|9281317
PDGFRB|GRB2|in vitro;in vivo|7935391
PRNP|GRB2|in vitro;in vivo;yeast 2-hybrid|11571277
PTPN11|GRB2|in vivo|8041791,12531430,8702859
PTPN6|GRB2|in vitro;in vivo|11964172
PTPRA|GRB2|in vitro;in vivo|7518772,11923305,8670803
PTPN1|GRB2|in vivo|12388170,10660596
EPHA2|GRB2|in vitro;in vivo|12400011
MAPK1|GRB2|in vivo|8994038
CHRND|GRB2|in vitro;in vivo|9668219
SOS1|GRB2|in vitro;in vivo|8493579,8479541,14679214,8816480,8810325
CD28|GRB2|in vitro;in vivo|8576157,7737275,9694876
CA4|SLC4A3|in vitro;in vivo|11994299
PRKCE|SLC4A3|in vitro|11739292
ANK1|SLC4A3|in vivo|8227202
CA2|SLC4A3|in vitro|11606574
L1CAM|ANK2|in vivo|9832558
OPRS1|ANK2|in vitro;in vivo|11149946
NRCAM|ANK2|in vitro|11449000
OBSCN|ANK2|in vitro|12527750
REG3A|ANXA3|in vitro;yeast 2-hybrid|10662590
GP2|ANXA4|in vitro|12324456
CD22|CD19|in vivo|9120258
CD79A|CD19|in vivo|9120258
CR2|CD19|in vivo|1702139
FYN|CD19|in vitro;in vivo|7589101
CD9|CD19|in vivo|9804823
CD79B|CD19|in vivo|9120258
VAV1|CD19|in vivo|7528218
LYN|CD19|in vitro;in vivo|7589101,7568175,10933394
CBL|CD19|in vivo|9178909
PIK3R1|CD19|in vivo|7528218
MAPK1|CD19|in vitro|10706702
ABL1|CD19|in vitro;in vivo|11120811
BTK|CD19|in vitro|10201980
SYK|CD19|in vivo|9120258
VAV2|CD19|in vitro;in vivo|11080163
CD81|CD19|in vivo|1383329
CD82|CD19|in vivo|9804823
GRB2|CD22|in vitro;in vivo|11551923
ST6GAL1|CD22|in vitro|8702538
HP|CD22|in vivo|11967116
PTPRC|CD22|in vivo|7537381
LYN|CD22|in vitro|8647200
PIK3R1|CD22|in vitro|8647200
PLCG1|CD22|in vitro|8627166
PTPN6|CD22|in vitro;in vivo|9890995,7618087,15588985
SYK|CD22|in vitro|8627166
SHC1|CD22|in vitro;in vivo|10748054
AP2M1|CD22|in vitro;in vivo;yeast 2-hybrid|12646615
CD44|CD44|in vivo|11825873
VCAN|CD44|in vitro|10950950
COL1A1|CD44|in vitro|1730778
COL1A2|CD44|in vitro|1730778
COL14A1|CD44|in vitro|8986622
MMP1|CD44|in vitro|11381077
MMP9|CD44|in vivo|10652271
VIL2|CD44|in vitro|12370738,12032545
CSK|CD44|in vitro;in vivo|11084024
HBEGF|CD44|in vivo|7532176
EPB41|CD44|in vitro|12901833
SELE|CD44|in vitro;in vivo|11402070
EGFR|CD44|in vivo|12093135
FGF2|CD44|in vivo|7532176
FYN|CD44|in vitro;in vivo|9573028
CD74|CD44|in vivo|8343954
IGFBP3|CD44|in vitro|12127836
LCK|CD44|in vitro;in vivo|8576267
SPP1|CD44|in vitro|10657301,12377945
SRGN|CD44|in vivo|9334256
MMP7|CD44|in vitro;in vivo|11825873
CD4|CD44|in vitro|7539755
TGFBR1|CD44|in vitro;in vivo|12145287
TGFBR2|CD44|in vivo|12145287
VAV2|CD44|in vitro|11606575
ERBB4|CD44|in vitro;in vivo|11825873
TIAM1|CD44|in vitro;in vivo|10636882
DMP1|CD44|in vitro|11825898
ARHGEF1|CD44|in vivo|12748184
NF2|CD44|in vitro;in vivo|12356905
FCGR3A|CD38|in vitro|11895784
LCK|CD38|in vitro;in vivo|10636863
PECAM1|CD38|in vitro|9551996
CD4|CD38|in vitro|7539755
C9|CD59|in vitro|7523406,1377690
C8A|CD59|in vitro|7544344
GNAI3|CD59|in vitro;in vivo|8650218
CD9|CD59|in vitro|1377690
CD2|CD59|in vitro|1377404
SRC|CD59|in vivo|12219031
SLC6A8|CD59|in vivo|12219031
NCR1|CD59|in vivo|14635045
NCR3|CD59|in vitro;in vivo|14635045
GRB2|CD72|in vitro|10820378
CD5|CD72|in vitro;in vivo|1711157,8806810
PTPN6|CD72|in vitro;in vivo|9590210,9740800,15588985
SEMA4D|CD72|in vitro;in vivo|11114375,12882840
BLNK|CD72|in vivo|10820378
SERPINA3|SERPINA3|in vitro|14668352
CTSG|SERPINA3|in vitro;in vivo|10512690,9698370,8849841
CTRL|SERPINA3|in vitro|8267879
CTRB1|SERPINA3|in vitro;in vivo|2435303
CMA1|SERPINA3|in vitro|8226889
MMP1|SERPINA3|in vitro;in vivo|1311327
ELA1|SERPINA3|in vitro|7759598,2456771
ELA2|SERPINA3|in vitro|8718849,8011628
MST1|SERPINA3|in vitro|11274154
KLK2|SERPINA3|in vitro;in vivo|9428387,9042371,10209959
ERBB2|SERPINA3|in vivo|10829039
KLK3|SERPINA3|in vitro;in vivo|11317942,10759471,8732755,11735417,9261179
F5|SERPINA3|in vitro|8216224
POLA1|SERPINA3|in vitro|3490907
CTRC|SERPINA3|in vivo|9635374,8718849
DNAJC1|SERPINA3|in vitro;in vivo;yeast 2-hybrid|14668352
CTSB|SLPI|in vitro|11435427
CTSS|SLPI|in vitro|11435427
CTSL1|SLPI|in vitro|11435427
ELA2|SLPI|in vitro|10702419
GRN|SLPI|in vitro;in vivo;yeast 2-hybrid|12526812
KLK3|SLPI|in vitro|7539415
PRSS2|SLPI|in vitro|8573092
PLSCR1|SLPI|in vitro|10869562
SERPINC1|SERPINC1|in vitro|9405673,9067613,10809774
SDC2|SERPINC1|in vivo|1315572
KLK2|SERPINC1|in vitro|9428387
PLG|SERPINC1|in vitro|10974350
F2|SERPINC1|in vitro|3800906,11927130,7238875
CA2|SLC9A1|in vitro;in vivo|12138085,16475831
YWHAB|SLC9A1|in vitro|11279064
MAP4K4|SLC9A1|in vitro;in vivo;yeast 2-hybrid|11369779
TESC|SLC9A1|in vitro;in vivo;yeast 2-hybrid|11696366,12809501
UBTF|CD3EAP|in vitro|9426281
TAF1A|CD3EAP|in vitro;in vivo|15226435
CD3E|CD3EAP|in vitro;in vivo|10373416
POLR1E|CD3EAP|in vitro|15226435
IFNW1|IFNAR1|in vivo|1834641
IFNA2|IFNAR1|in vivo|1834641
IFNB1|IFNAR1|in vivo|1834641
PIK3R1|IFNAR1|in vivo|10542297
PTPN11|IFNAR1|in vitro;in vivo|9029147
PTPN6|IFNAR1|in vitro;in vivo|9029147,8524272
TYK2|IFNAR1|in vitro;in vivo|9733772,9677371,95059042
MAPK1|IFNAR1|in vitro;in vivo|9029147
GNB2L1|IFNAR1|in vitro;in vivo|11301323
STAT2|IFNAR1|in vitro;in vivo|8605876,11786546,7559568
PRKACA|IFNAR1|in vitro;in vivo|9029147
CRKL|IFNAR1|in vitro;in vivo|11167825
PRMT1|IFNAR1|in vitro;in vivo;yeast 2-hybrid|9029147
CANX|IFNGR1|in vivo|8136357
IFNGR2|IFNGR1|in vivo|7673114
IFNG|IFNGR1|in vivo|12165521,10986460
JAK1|IFNGR1|in vivo|12133952
DEK|TFAP2A|in vitro;in vivo|12595566
CASP1|TFAP2A|in vitro;in vivo|11438643
